List Size, Benchmark
200000001,0.0010023117065429688
201000001,0.0014758110046386719
202000001,0.0012521743774414062
203000001,0.0010480880737304688
204000001,0.0
205000001,0.0013806819915771484
206000001,0.0010006427764892578
207000001,0.0010521411895751953
208000001,0.0
209000001,0.0
210000001,0.0013632774353027344
211000001,0.0015912055969238281
212000001,0.0010383129119873047
213000001,0.0005393028259277344
214000001,0.0005023479461669922
215000001,0.0003190040588378906
216000001,0.0013537406921386719
217000001,0.0
218000001,0.0012078285217285156
219000001,0.00039958953857421875
220000001,0.001299142837524414
221000001,0.0
222000001,0.0
223000001,0.0
224000001,0.00013685226440429688
225000001,0.0
226000001,0.0011506080627441406
227000001,0.0012412071228027344
228000001,0.0013251304626464844
229000001,0.0017833709716796875
230000001,0.00131988525390625
231000001,0.0
232000001,0.0010433197021484375
233000001,0.0005657672882080078
234000001,0.0004909038543701172
235000001,0.0010004043579101562
236000001,0.0010008811950683594
237000001,0.002120494842529297
238000001,0.0010819435119628906
239000001,0.00045680999755859375
240000001,0.00029730796813964844
241000001,0.0012576580047607422
242000001,0.0005657672882080078
243000001,0.0013916492462158203
244000001,0.0002002716064453125
245000001,0.0013356208801269531
246000001,0.0010004043579101562
247000001,0.0
248000001,0.0013942718505859375
249000001,0.0009996891021728516
250000001,0.0010693073272705078
251000001,0.0010008811950683594
252000001,0.0009946823120117188
253000001,0.0010035037994384766
254000001,0.0
255000001,0.0
256000001,0.0
257000001,0.0
258000001,0.0009996891021728516
259000001,0.0005066394805908203
260000001,0.0012273788452148438
261000001,0.0006918907165527344
262000001,0.0012767314910888672
263000001,0.0015935897827148438
264000001,0.0015115737915039062
265000001,0.0009970664978027344
266000001,0.0010426044464111328
267000001,0.0
268000001,0.0009984970092773438
269000001,0.0013873577117919922
270000001,0.0004000663757324219
271000001,0.0009999275207519531
272000001,0.0016465187072753906
273000001,0.0011756420135498047
274000001,0.0005891323089599609
275000001,0.0012962818145751953
276000001,0.001176595687866211
277000001,0.0012669563293457031
278000001,0.0011296272277832031
279000001,0.0012574195861816406
280000001,0.001196146011352539
281000001,0.001245737075805664
282000001,0.0012526512145996094
283000001,0.0010368824005126953
284000001,0.0012743473052978516
285000001,0.0010013580322265625
286000001,0.0
287000001,0.0013844966888427734
288000001,0.0004961490631103516
289000001,0.0012569427490234375
290000001,0.0012085437774658203
291000001,0.001302957534790039
292000001,0.0
293000001,0.0011947154998779297
294000001,0.0
295000001,0.001127481460571289
296000001,0.0
297000001,0.00145721435546875
298000001,0.0
299000001,0.001207113265991211
