List Size, Benchmark
999998,0.000973701
1999998,0.001944065
2999998,0.001994848
3999998,0.002991915
4999998,0.003983974
5999998,0.004965782
6999998,0.004989624
7999998,0.006009579
8999998,0.00698185
9999998,0.007980824
10999998,0.008969307
11999998,0.008976698
12999998,0.011994362
13999998,0.010946274
14999998,0.011552334
15999998,0.011968851
16999998,0.013955832
17999998,0.014012814
18999998,0.014994383
19999998,0.015956163
